birthyear,age,p_berkeley,q_nlung,final
1864,0,0.14596,0.14596,0.14596
1864,1,0.03282,0.03282,0.03282
1864,2,0.01634,0.01634,0.01634
1864,3,0.01052,0.0105198012,0.01052
1864,4,0.00875,0.0087496019,0.00875
1864,5,0.00628,0.0062794021,0.00628
1864,6,0.00462,0.0046192022,0.00462
1864,7,0.00326,0.003259002,0.00326
1864,8,0.00256,0.0025590016,0.00256
1864,9,0.00203,0.0020290013,0.00203
1864,10,0.00211,0.0021090014,0.00211
1864,11,0.00216,0.0021590014,0.00216
1864,12,0.00212,0.0021190014,0.00212
1864,13,0.00239,0.0023888019,0.00239
1864,14,0.00254,0.0025386024,0.00254
1864,15,0.00267,0.002668403,0.00267
1864,16,0.0032,0.003198204,0.0032
1864,17,0.00378,0.0037780052,0.00378
1864,18,0.00913,0.0091280108,0.00913
1864,19,0.00531,0.005308007,0.00531
1864,20,0.00507,0.0050680069,0.00507
1864,21,0.00437,0.0043680063,0.00437
1864,22,0.00449,0.0044880065,0.00449
1864,23,0.00472,0.0047176081,0.00472
1864,24,0.00456,0.0045572092,0.00456
1864,25,0.00462,0.0046168106,0.00462
1864,26,0.00467,0.0046664119,0.00467
1864,27,0.00457,0.004566013,0.00457
1864,28,0.00494,0.0049332238,0.00494
1864,29,0.00504,0.0050304339,0.00504
1864,30,0.00491,0.0048976433,0.00491
1864,31,0.00496,0.0049448544,0.00496
1864,32,0.00472,0.0047020639,0.00472
1864,33,0.004922,0.0048994834,0.004922
1864,34,0.005239,0.0052119066,0.005239
1864,35,0.005588,0.0055563334,0.005588
1864,36,0.005908,0.0058717619,0.005908
1864,37,0.00618,0.0061391931,0.00618
1864,38,0.006428,0.0063746668,0.006428
1864,39,0.006673,0.00660715,0.006673
1864,40,0.006945,0.0068666457,0.0147119847
1864,41,0.007307,0.0072161508,0.0151357124
1864,42,0.007791,0.0076876742,0.0158061996
1864,43,0.00837,0.0082383293,0.016751296
1864,44,0.009015,0.0088550218,0.0178171403
1864,45,0.00972,0.0095317512,0.018987739
1864,46,0.010463,0.0102465405,0.0202169974
1864,47,0.011236,0.0109913721,0.0214875639
1864,48,0.012063,0.0117758075,0.022842438
